Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Quảng Bình,00000001,Quan Văn Hòa,4.6,8.4,5.2,,,,,,
Bắc Kạn,00000002,Vương Thanh Trâm,2.6,4.2,3.0,,,,,,
Cao Bằng,00000003,Liêu Thiện Nhân,8.4,6.4,3.2,,,,,,
Lạng Sơn,00000004,Mạc Phương Minh,9.4,7.6,5.6,,,,9.4,,
Tây Ninh,00000005,Trà Ngọc Tú,9.0,9.6,7.6,,,,,,
Quảng Ngãi,00000006,Hà Phú Thịnh,2.0,4.2,2.4,,,,,,
Quảng Ngãi,00000007,Viên Hạnh Dung,7.6,3.2,8.2,,,,,,
Bắc Giang,00000008,Vòng Phú Thành,2.6,3.8,8.4,,,,,,
Trà Vinh,00000009,Dương Minh Anh,8.8,3.4,3.2,,,,,,
Hòa Bình,00000010,Ôn Hồng Vân,2.0,2.4,5.8,,,,,,
Khánh Hòa,00000011,Mai Thanh Tùng,6.0,9.8,7.0,,,,,,
Bạc Liêu,00000012,Võ Bảo Anh,2.6,8.2,5.4,,,,,,
Cà Mau,00000013,Hàng Nhã Uyên,5.8,8.8,9.6,,,,,,
Tiền Giang,00000014,Phạm Chấn Hưng,5.6,2.0,4.8,,,,,,
Trà Vinh,00000015,Bạch Duy Khương,2.8,9.8,8.2,,,,,,
Bình Thuận,00000016,Viên Anh Kiệt,8.0,3.6,7.0,,,,,,
Vĩnh Phúc,00000017,Dư Hoàng Dũng,2.0,8.4,5.2,,,,,,
Bạc Liêu,00000018,Mạc Khánh Băng,9.4,6.4,9.0,,,,,,
Quảng Trị,00000019,Bành Bảo Anh,7.2,8.2,3.8,,,,,,
Hà Tĩnh,00000020,La Duy Nam,5.2,9.2,6.6,,,,,,
An Giang,00000021,Mạc Ngọc Tiên,7.6,9.6,5.2,,,,,,
Nghệ An,00000022,Lâm Bảo Lộc,3.8,8.2,8.0,,,,,,
Bắc Kạn,00000023,Tôn Tuấn Vinh,3.8,9.4,4.6,,,,,,
Ninh Bình,00000024,Lương Ngọc Ngân,6.0,10.0,7.0,,,,,,
Vĩnh Long,00000025,Diệp Việt Hoàng,6.0,5.0,2.0,,,,,,
Ninh Bình,00000026,Quan Ngọc Hiếu,4.4,6.2,8.4,,,,,,
Hải Phòng,00000027,Hồ Minh Lâm,3.0,8.2,2.2,,,,,,
Vĩnh Phúc,00000028,Lâm Thúy Diễm,5.8,7.6,7.8,,,,,,
Ninh Thuận,00000029,Nghiêm Bảo Quyên,9.2,2.0,6.0,,,,,,
Nghệ An,00000030,Mạc Ngọc Tiên,8.8,3.6,10.0,,,,,,
Sơn La,00000031,Bành Quang Thái,4.8,7.4,6.4,,,,,,
Đồng Nai,00000032,Lai Huyền Trang,7.2,4.2,9.2,,,,,,
Thanh Hóa,00000033,Bành Thục Quyên,3.2,9.4,5.2,,,,,,
Ninh Bình,00000034,Đặng Anh Phương,3.6,2.8,3.6,,,,,,
Thừa Thiên Huế,00000035,Lâm Minh Khải,2.2,9.8,3.0,,,,,,
Hà Nội,00000036,Danh Khả Hân,9.6,7.4,7.2,,,,,,
Hậu Giang,00000037,Tạ Phước An,2.8,7.8,3.2,,,,,,
Sóc Trăng,00000038,Diệp Minh Kiệt,2.6,7.6,3.6,,,,9.4,,
Lai Châu,00000039,Dư Gia Đạt,8.8,7.8,2.2,,,,,,
Kiên Giang,00000040,Phù Thu Giang,3.6,2.2,5.4,,,,,,
Sơn La,00000041,Nghiêm Ngọc Ánh,9.6,8.0,9.0,,,,,,
Sơn La,00000042,Tôn Nữ Thiên Phước,6.4,6.2,8.8,,,,,,
Hà Tĩnh,00000043,Khổng Hữu Toàn,7.4,3.0,7.0,,,,,,
Đắk Lắk,00000044,Lâm Thúy Ngân,4.4,4.8,9.6,,,,,,
Phú Thọ,00000045,Trương Quốc Minh,3.2,4.6,8.2,,,,,,
Hà Tĩnh,00000046,Thái Xuân Nghi,6.2,5.4,4.0,,,,,,
Thái Bình,00000047,Viên Tuấn Huy,7.6,7.8,4.4,,,,,,
Tuyên Quang,00000048,Lâm Ngọc Nhi,8.0,6.4,4.6,,,,2.6,,
Sóc Trăng,00000049,Bùi Quốc An,4.2,5.8,4.8,,,6.0,,,
Ninh Bình,00000050,Châu Hoàng Thái,7.6,7.2,4.8,,,,,,
Bạc Liêu,00000051,Trà Hương Thảo,5.8,6.4,2.8,,,,,,
Bến Tre,00000052,Khổng Hồng Trúc,4.8,3.4,4.4,,,8.6,,,
Hậu Giang,00000053,Chế Thanh Hiếu,6.4,9.6,4.2,,,,,,
Tây Ninh,00000054,Viên Xuân Thắng,8.6,3.6,5.8,,,,,,
Bắc Ninh,00000055,Đỗ Xuân Hiếu,5.0,6.0,8.2,,,,,,
An Giang,00000056,Sơn Chí Dũng,5.2,4.0,3.2,,,,,,
Bình Định,00000057,Doãn Phương Trinh,3.2,6.0,4.4,,,,5.8,,
Hải Phòng,00000058,Bạch Hoàng Lộc,5.0,5.2,3.4,,,,,,
Ninh Thuận,00000059,Chung Sơn Lâm,8.8,2.6,9.8,,,,,,3.0
Quảng Ngãi,00000060,Lữ Chí Khang,5.8,4.0,8.2,,,,,,
Tuyên Quang,00000061,Lư Văn Duy,5.8,4.6,9.2,,,,,,
Hải Phòng,00000062,Đặng Trúc My,9.0,7.8,7.8,,,,,,
Tuyên Quang,00000063,Lữ Phương Duy,9.2,3.0,9.8,,,,,,
Tây Ninh,00000064,Đồng Hương Thảo,7.8,8.6,7.0,,,,,,
Hà Nội,00000065,Trang Nhã Hân,4.2,8.2,6.4,,,,,,
Đắk Lắk,00000066,Tiêu Bảo Duy,4.6,7.4,6.6,,,,,,
Tiền Giang,00000067,Thái Hữu Minh,3.2,8.4,5.0,,,,,,
Ninh Bình,00000068,Thi Bảo Thư,6.0,8.2,4.6,,,,,,
Nam Định,00000069,Võ Huy Khang,3.2,8.8,6.0,,,,,,
Đồng Tháp,00000070,Đường Hoàng Đạt,10.0,3.4,8.2,,,,,,
Phú Yên,00000071,Đường Hồng Đào,9.4,2.6,2.6,,,,,,
Bắc Kạn,00000072,Quách Phúc Thiên,2.6,7.2,2.8,,,,,,
Vĩnh Phúc,00000073,Sơn Quang Dũng,8.8,8.2,8.6,,,,,,
Trà Vinh,00000074,Kim Lan Nhi,7.2,8.0,7.2,,,,,,
Hòa Bình,00000075,Cao Thảo Nhi,3.4,7.0,6.4,,,,,,
Hà Giang,00000076,Ngụy Minh Thy,6.0,5.2,5.8,,,,,,
Ninh Thuận,00000077,Đàm Thái Bình,8.0,6.0,2.6,,,,,,
Cao Bằng,00000078,Vi Đức Thuận,4.4,4.8,6.0,,,,,,
An Giang,00000079,Kiều Minh Khánh,7.2,9.4,2.8,,,,,,
Bình Phước,00000080,Đào Phúc Minh,8.0,10.0,3.2,,,,,,
Cà Mau,00000081,Phạm Thảo Như,4.0,3.2,7.2,,,,4.6,,
Thái Nguyên,00000082,Phan Minh Thi,8.0,8.8,9.4,,,,,,
Bình Phước,00000083,Tiêu Minh Dương,2.4,5.4,9.6,,,,,,
Quảng Trị,00000084,Âu Nhật Minh,2.6,2.0,8.0,,,,,,
Hà Giang,00000085,Lữ Ngọc Thắng,7.0,4.2,9.4,,,,,,
Điện Biên,00000086,Sơn Kim Uyên,8.8,8.4,4.2,,,,,,
Bắc Giang,00000087,Bùi Cẩm Tú,9.0,5.2,7.0,,,,,,
Tây Ninh,00000088,Lục Tuyết Nhi,6.0,9.2,5.0,,,,,,
Hưng Yên,00000089,Triệu Phúc An,3.0,9.2,6.4,,,,,,
Thành phố Hồ Chí Minh,00000090,Triệu Quang Đạt,2.6,6.2,5.6,,,,,,
Bến Tre,00000091,Đinh Thiên Phúc,3.4,3.4,2.2,,,,,,
Bình Phước,00000092,Tào Chấn Khang,6.6,6.8,3.8,,,,,,
Tuyên Quang,00000093,Mạch Quang Trường,8.4,6.6,3.6,,,,,,
Lâm Đồng,00000094,Ngụy Thanh Chúc,3.4,6.4,3.4,,,,,,
Long An,00000095,Trịnh Lan Hương,6.8,2.4,9.0,,,,,,
Nghệ An,00000096,Chung Ngọc Nghi,4.6,2.0,9.8,,,,,,
Hòa Bình,00000097,Viên Trúc Quân,10.0,5.2,5.4,,,,,,
Đồng Nai,00000098,Lữ Mỹ Kim,3.8,3.4,7.4,,,,,,
Tiền Giang,00000099,Phù Xuân Hiếu,9.2,3.8,9.0,2.6,,,,,
Cần Thơ,00000100,Phạm Hiền Mai,8.6,2.0,8.0,,,,,,
Kiên Giang,00000101,Phùng Thái Thịnh,8.0,8.0,3.8,,,,,,
Sóc Trăng,00000102,Cao Thúy Diễm,2.8,6.8,9.6,,,,,,
Bình Thuận,00000103,Thiều Thiên Trúc,6.0,9.4,8.2,,,,,,
Bình Dương,00000104,Danh Trí Minh,8.4,4.4,10.0,,,,,,
Bắc Giang,00000105,Phạm Hạ My,6.0,9.8,5.4,,,,7.8,,
Lâm Đồng,00000106,Trình Cát Tường,7.4,8.8,9.4,,,,,,
Điện Biên,00000107,Doãn Quang Bảo,8.0,5.4,8.0,,,,,,
Trà Vinh,00000108,Thiều Thiên Lộc,8.4,6.6,9.0,,,,,,
Bạc Liêu,00000109,Đoàn Hồng Loan,9.8,9.0,6.6,,,,,,
Ninh Thuận,00000110,Hồng Thanh Hùng,7.0,4.6,3.2,,,,,,
Bình Phước,00000111,Ngụy Hoàng Vinh,8.6,3.8,9.6,,,,8.0,,
Quảng Nam,00000112,Lai Hoàng Giang,10.0,6.0,5.2,,,,,,
Bình Dương,00000113,Tào Bích Thảo,8.8,7.2,2.6,,,,,,
Nghệ An,00000114,Diệp Thái Phong,8.8,10.0,5.6,,,,,,
Ninh Thuận,00000115,Lương Chí Đạt,10.0,3.0,4.0,,,,,,
Hà Giang,00000116,Thái Tiến Hưng,7.2,8.4,9.2,,,,,,
Bắc Ninh,00000117,Vòng Ngọc Thy,8.6,9.8,6.0,,,,,,
Khánh Hòa,00000118,Vi Trí Toàn,4.6,6.0,3.6,,,,,,
Phú Yên,00000119,Trần Khánh Vy,7.4,4.0,7.6,,,,,,
Yên Bái,00000120,Văn Minh Quý,5.4,2.0,3.4,,,,,,
Khánh Hòa,00000121,Lư Bảo Toàn,5.4,9.2,5.8,,,,7.8,,
Quảng Ngãi,00000122,Tất Hồng Nhi,6.2,2.6,4.8,,,,,,
Bình Dương,00000123,Trịnh Nhựt Hào,6.8,7.0,2.4,,,,,,
Bắc Kạn,00000124,Triệu Gia Bảo,4.0,8.2,3.6,,,,,,
Bắc Ninh,00000125,Văn Mỹ Châu,8.0,4.4,3.4,,,,,,
Phú Yên,00000126,Sơn Tường Anh,8.0,9.0,5.8,,,,,,
Ninh Bình,00000127,Mạch Minh Quốc,7.6,10.0,9.8,,,,,2.4,
Kon Tum,00000128,Vương Thanh Thủy,3.4,2.2,8.4,,,,,,
Sóc Trăng,00000129,Hồng Thùy Chi,2.0,9.6,7.8,,,,,,
Cần Thơ,00000130,Tôn Hồng Nga,6.4,2.4,5.8,,,,,,
Gia Lai,00000131,Tăng Hà Phương,2.4,8.8,2.6,,,,,,
Ninh Thuận,00000132,Lư Thảo Phương,4.6,5.6,4.4,,,2.8,,,
Bắc Kạn,00000133,Lâm Thanh Uyên,9.2,7.4,9.8,,,,,,1.2
Quảng Ngãi,00000134,Dư Đình Phong,6.0,7.2,8.2,,,,,,
Phú Yên,00000135,Hứa Lê Khanh,4.2,2.2,7.6,,,,,,
Bến Tre,00000136,Trầm Thiên Ngân,5.2,2.8,6.6,,,,3.2,,
Lâm Đồng,00000137,Bùi Tuyết Lan,7.6,8.4,5.6,,,,,,
Phú Thọ,00000138,Đàm Kim Nhi,4.0,7.4,8.2,,,,,,
Hưng Yên,00000139,Lâm Minh Thành,8.6,5.4,9.4,,,,,,
Ninh Bình,00000140,Tôn Nữ Mỹ Kim,3.2,5.6,6.0,,,,,,
Lai Châu,00000141,Nghiêm Mai Thi,7.0,5.6,5.2,,,,,,
Đồng Nai,00000142,Diệp Thiên Trang,4.4,7.8,7.6,,,,,,
Sơn La,00000143,Kim Thanh Huy,5.4,3.6,10.0,,,,,,
Tiền Giang,00000144,Tăng Đình Nguyên,4.2,7.8,8.6,,,,,,
Quảng Ninh,00000145,Chu Thị Thảo,2.4,4.2,9.6,,,,,,
Sơn La,00000146,Danh Thư Kỳ,3.2,9.4,3.0,,,,,,
Yên Bái,00000147,Ninh Linh Chi,9.8,5.2,5.2,,,,,,
Cao Bằng,00000148,Nhâm Nhật Hào,7.6,2.2,5.4,,,,,,
Bình Định,00000149,Mã Hồng Linh,6.6,7.4,7.6,,,,,,
Phú Yên,00000150,Trịnh Đức Thuận,8.4,6.2,2.0,,,,,,
Vĩnh Long,00000151,Bùi Cẩm Ly,6.6,7.8,4.2,,,,,,0.6
Bình Phước,00000152,Tôn Thị Phương,3.4,5.6,7.0,,,,,,
Thái Nguyên,00000153,Phan Bích Thảo,2.6,4.2,6.8,,,,,,
Đồng Nai,00000154,Lưu Thiên Đức,8.2,3.6,8.0,,,,,,
Điện Biên,00000155,Phù Chí Đạt,2.0,9.8,9.8,,,,,,
Đồng Tháp,00000156,Biện Hà Anh,7.2,6.6,7.4,,,,,,
Ninh Thuận,00000157,Lương Ngọc My,5.8,6.4,9.8,,,,,,
Yên Bái,00000158,Dương Tuyết Như,2.4,9.6,7.0,,2.2,5.2,,,
Bắc Kạn,00000159,Nghiêm Tuấn Khôi,9.8,3.8,5.2,,,,,,
Bắc Ninh,00000160,Hồ Thanh Hòa,5.2,3.0,8.8,,,,,,
Thái Nguyên,00000161,Hứa Tuấn Hùng,9.2,6.2,3.0,,,,,,
