Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Tây Ninh,00000001,Huỳnh Bảo Khoa,4.4,5.4,8.4,,1.2,,,,
Bạc Liêu,00000002,Chu Khánh Vân,5.4,2.8,4.2,,,,,,
Cà Mau,00000003,Đỗ Thành Hưng,5.8,3.0,9.6,,,0.8,,,
Lai Châu,00000004,Chế Khải Hoàn,9.2,9.0,3.4,,,,,,
Lạng Sơn,00000005,Hàng Xuân Hiếu,6.2,5.4,4.2,,,,,,
Bạc Liêu,00000006,Dư Vũ Phong,3.4,7.0,3.2,,,5.4,6.4,4.6,
Vĩnh Long,00000007,Vòng Thiên Phát,9.8,3.4,3.6,,,,,,3.2
Hà Tĩnh,00000008,Hoàng Quang Hiếu,8.0,8.4,5.4,,,8.2,,,
Cà Mau,00000009,Đinh Thủy Tiên,4.4,7.8,6.2,,,,,,
Điện Biên,00000010,Triệu Hải Phong,7.4,6.8,8.6,,,,,,
Hà Nội,00000011,Phan Hoàng Phúc,7.2,5.4,8.4,,,,,,
Yên Bái,00000012,Mai Hoàng Ân,3.0,9.2,5.4,,,,,,
Nam Định,00000013,Thạch Minh Khiêm,9.4,6.0,2.0,,,,,,1.0
Đồng Nai,00000014,Hồng Bảo Thư,4.0,5.4,4.6,,,,,,
Bình Định,00000015,Phùng Thiên Thư,9.8,2.4,3.8,,,,,3.2,
Cà Mau,00000016,Vi Trường Sơn,9.6,4.2,4.2,8.4,,,,,
Yên Bái,00000017,Trang Huy Hoàng,8.8,9.4,9.4,,,,,,
Lâm Đồng,00000018,Bành Nhã Linh,3.6,5.6,4.2,8.2,,,9.4,,
Gia Lai,00000019,Hà Minh Tuyết,2.0,7.6,8.6,,,,,,
Thái Bình,00000020,Lại Trúc Ngân,6.2,10.0,5.0,,,,,,
Quảng Ninh,00000021,Hồ Kim Châu,4.4,6.6,4.6,,,,9.6,,
Lai Châu,00000022,Cao Nhã Linh,6.0,3.2,6.6,,5.0,,,,
Long An,00000023,Diệp Kiều Nga,4.2,8.4,6.6,,,,6.0,,
Bà Rịa – Vũng Tàu,00000024,Khổng Anh Vy,6.8,3.4,8.8,,,,,,
Ninh Bình,00000025,Khưu Ái Linh,3.6,3.6,8.6,,,,,,2.4
Quảng Bình,00000026,Liêu Quang Hưng,8.4,9.6,8.0,,9.6,,,,
Lạng Sơn,00000027,Trương Ánh Như,5.8,6.2,4.4,,,,1.2,,
Khánh Hòa,00000028,Khưu Kim Như,5.8,7.8,7.6,,,,,,
Kiên Giang,00000029,Thái Thanh Nguyên,5.8,3.8,7.4,,,,,,
Bà Rịa – Vũng Tàu,00000030,Thân Hữu Nghĩa,5.6,5.0,3.0,,,,,,
Vĩnh Long,00000031,Mai Trân Trân,6.0,3.2,9.6,,,,,6.6,
